title,prices,features,booking_start,organizing
"
3BHK Apartment for Sale in Kondapur
Incor Viva City




















 Similar Properties,Kondapur

New Booking

 1.41 Cr         

 7622 per sq.ft. Carpet Area

","
 1.41 Cr         ","


Carpet Area

              1850 sq.ft (171.87 sq.m) 

                    @ 7622 /-                


Possession On
Dec'23


Floor
4


Bathrooms
3



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+30 more

",Posted : 25 days ago,"
Agent : 
Ramana
"
"
4BHK Apartment for Sale in Shaikpet
Salarpuria Sattva Magnus




















 Similar Properties,Shaikpet

New Booking

 3.04 Cr         

 13692 per sq.ft. Carpet Area

","
 3.04 Cr         ","


Carpet Area

              2224 sq.ft (206.62 sq.m) 

                    @ 13692 /-                


Possession On
Ready To Move


Floor
Ground Floor


Bathrooms
4


",Posted : 20 days ago,"
Builder : 
Salarpuria Sattva Group
"
"
 3 BHK Apartment for Sale in Jeedimetla
Essen Marvella




















 Similar Properties,Jeedimetla

New Booking

 74.02 L         

 5875 per sq.ft. Carpet Area

","
 74.02 L         ","


Carpet Area

              1260 sq.ft (117.06 sq.m) 

                    @ 5875 /-                


Possession On
NA


Floor
Ground Floor


Bathrooms
2


",Posted : 26 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Not Furnished 2 BHK Apartment for Sale in Pocharam
SVS East Paradise




















 Similar Properties,Pocharam

New Booking

 52.57 L         

 5753 per sq.ft. Carpet Area

","
 52.57 L         ","


Carpet Area

              914 sq.ft (84.91 sq.m) 

                    @ 5753 /-                


Possession On
NA


Floor
2


Bathrooms
1



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      


",Posted : 18 days ago,"
Agent : 
Hyderabad Marketing Team
"
"
Semi Furnished 2BHK Apartment for Sale in Patancheru
Patancheru

New Booking

 30 L         

 2500 per sq.ft. Carpet Area

","
 30 L         ","


Carpet Area

              1200 sq.ft (111.48 sq.m) 

                    @ 2500 /-                


Possession On
Dec'24


Floor
15


Bathrooms
2



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+10 more

",Posted : Today,"
Agent : 
Marisetti Saidaiah
"
"
2BHK Villa for Sale in Indresham
Indresham

New Booking

 52 L         

 6500 per sq.ft. Carpet Area

","
 52 L         ","


Carpet Area

              800 sq.ft (74.32 sq.m) 

                    @ 6500 /-                


Possession On
Nov'22


Bathrooms
2


",Posted : Today,"
Agent : 
Shiv Shankar
"
"
2BHK Villa for Sale in Indresham
Indresham

New Booking

 52 L         

 6500 per sq.ft. Carpet Area

","
 52 L         ","


Carpet Area

              800 sq.ft (74.32 sq.m) 

                    @ 6500 /-                


Possession On
Nov'22


Bathrooms
2


",Posted : Today,"
Agent : 
Shiv Shankar
"
"
4BHK Apartment for Sale in Nanakramguda
Nanakramguda

New Booking

 1.70 Cr         

 9374 per sq.ft. Carpet Area

","
 1.70 Cr         ","


Carpet Area

              1816 sq.ft (168.71 sq.m) 

                    @ 9374 /-                


Possession On
Jun'25


Floor
15


Bathrooms
4


",Posted : Today,"
Agent : 
Rnaveen
"
"
4BHK Apartment for Sale in Nanakramguda
Nanakramguda

New Booking

 2.24 Cr         

 9374 per sq.ft. Carpet Area

","
 2.24 Cr         ","


Carpet Area

              2400 sq.ft (222.97 sq.m) 

                    @ 9374 /-                


Possession On
Jun'25


Floor
12


Bathrooms
4


",Posted : Today,"
Agent : 
Rnaveen
"
"
Semi Furnished 4BHK Villa for Sale in Beeramguda
Beeramguda

New Booking

 1.16 Cr         

 4500 per sq.ft. Carpet Area

","
 1.16 Cr         ","


Carpet Area

              2580 sq.ft (239.69 sq.m) 

                    @ 4500 /-                


Possession On
Jun'23


Bathrooms
4



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+11 more

",Posted : Today,"
Agent : 
Marisetti Saidaiah
"
"
Semi Furnished 2BHK Apartment for Sale in Patancheru
Patancheru

New Booking

 39.69 L         

 3000 per sq.ft. Carpet Area

","
 39.69 L         ","


Carpet Area

              1323 sq.ft (122.91 sq.m) 

                    @ 3000 /-                


Possession On
Dec'23


Floor
9


Bathrooms
2



Amenities


                          Parking                      

                          Power Backup                      

                          Swimming Pool                      

                          Security                      

+10 more

",Posted : Today,"
Agent : 
Marisetti Saidaiah
"
